text,date,original,genre,related,PII,request,offer,aid_related,medical_help,medical_products,search_and_rescue,security,military,child_alone,water,food,shelter,clothing,money,missing_people,refugees,death,other_aid,infrastructure_related,transport,buildings,electricity,tools,hospitals,shops,aid_centers,other_infrastructure,weather_related,floods,storm,fire,earthquake,cold,other_weather,direct_report,actionable_haiti
made map find familly people,21-01-2010,MWEN FE A MAP JWENN NAN FANMI AN SE NOU 13 MOUN,direct,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sure st pierre st pierre school portauprince,21-01-2010,"i need help for people on st pierre, since wednesday i was helping people, but today i dont have enough things please could you help me. thank you",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
want thank digicel letting us send text messages bois moquette upper petionville destroyed house need water food lost job lost people,21-01-2010,Nou remsye digicel pou fe mesaj sa a pase. nou menm moun bois monquette nou pa gen kay kraze men nou gen bezwen dlo manje paske nou pedi travay nou fanmi nou.,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
type way us going die hungry thank,21-01-2010,yo fe yon fason pou zon sa paske tout moun ap mouri grangou mesi,direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
transportation call need help,21-01-2010,Nou gen machin disponib pou fe transp a. yo ka relem sou nimewo sa a. tanpri fe yon jan pou nou paske nou gen bezwen. mesi Digicel,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
please need food water tents sleep please go look carrefour particularly area titus betem boten need food incomplete,21-01-2010,Tanpri nou bezwen manje dlo ak tant pou nou ka kouche tanpri voye je nou gade kafou soutou nan zon bten ak titus tanpri nou bezwen manje paske kay nou,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
across peace hospital waiting,21-01-2010,"de l art anfas lopital la paix, nou konte sou, mesi.",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nam eo fthe population area living streets becuase houses demolish earthquake want,21-01-2010,"au nom de la population dans mon quartier qui se trouve dans les rues,  cause de nos maisons qui ont t dtruites par le saisme, donc, nous voulons vo",direct,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
good morning wrote message know found asking,21-01-2010,Bonjour mwen ekrin yon mesaj m pa kon sin jwenn li. map mande n ed. stephanie rousseau.,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
authorithies send help mariani,21-01-2010,Poukisa otorite yo pa voye vi n ede n nan mariani,direct,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
need water anti biotics face masks tents lamentin rue cocteau carrefour,21-01-2010,"Nou bezwen dlo, antibiotic, cache nez, tente. Nou nan lamentin 54 rue cocteau, carrefour",direct,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
thank good work,21-01-2010,MWEN REMSIE DIGICEL POU BON TRAVAY LAP F. MWEN SE YON SINISTRE AKT,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relative people leaving capital migrating cities plan know cities overcrowded,21-01-2010,"Pou tout moun kite nan kapital la, ki antre nan lot vil yo, kisa yo panse fe pou yo. paske nan vil mwen ye, genyen anpil moun ki nan vil la, yo pa menm konne",direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hello belok leogane hungry nothing area belok student association belok leogane,21-01-2010,"Salut,nou nan belok zon leogan nou grangou nou pa jwen oken ed isit la tanpri voye ed pou nou belok.msi se asosiasion etudian depi belok leogane.",direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
need medicine hypertension tamponspads medicine thee baby,21-01-2010,NAN DELMA 33 ZONE SILO RU NOTRE DAME E LAMOU NOU BESOIN MEDIKAMAN POU TENSION AK KOTEX REMED POU BABY TOU,direct,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
please durinfg earthquake lost house injured need help students,21-01-2010,Svp pandan tranbleman de terre a te pase a li kraze kay nou te rete a epi genyen blok ki tonbe nou silvoupl nou bezwen yon aide se elv lekol nou ye nou,direct,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
please call write us need information need help like beeing translators food distributors services else us th,21-01-2010,"Please, call or write us if you need more information or if you need our help like beeing translators, food distributors or any services else from us. Th",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
st marc came save lives,21-01-2010,"en nan st mak, ki jis vini pou sove vi yo.",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
im stmarc came save lives need dont shelter food,21-01-2010,"en nan st mak, ki jis vini pou sove vi yo. yo pa gen kay pou yo rete. yo pa gen mange.",direct,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
arab canal bleu artistjournalist nothing want along family mission give news artists alive canal bleu seems tv station location,21-01-2010,"SE ARAB LA DE CANAL BLEU ( ARTISTE-JOURNALISTE ) MWEN PA GEN ANYEN MWEN ANVI AK TOUT FANMIM EPI MWEN GEN MISSION POU MWEN BAY BILAN TOUT ATIS KI ANVI,",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
okay atis rap creole contact fast fast via sms call urgent important today im going wats got bariers allready waiting,21-01-2010,"K ATIS RAP KREYOL KONTAKTEM RAPID RAPID PA SMS OU CALL URGEN LI TAP ENPOTAN ANPIL, ANPIL PASKE SE JODIAN MAP F SA MWEN GEN SOU BARIKAD DEJA MAP TANN",direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carrefour feuilles slum west portauprince rest message make sense,21-01-2010,STADL NAN FORT-MERCREDI CARREFOUR FEUILLES NEED HELP,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bonsoir est bon repos aprs la compagnie teleko sur la route droite de limpasse roger colas aprs la e maison sur la main droite de la rue est environ personnes sur un,21-01-2010,Bonswa nou nan bon repo apri teleko nan wout ti sou la men dwat imp. Roger colas apri nevim kay sou la men dwat nou anviwon 30 moun sou yon taren nou pa,direct,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
student group portauprince arrived portdepaix save anything lost everything need help counting us,21-01-2010,"Nou se gwoup etidyan ki frape pa dezast la, nou te p-o-prens nou rantre a p-de-p nou pa sove anyen tout pys nou pedi nou beswen ed nou. Nou konte sou",direct,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internet santo signal lost fast,21-01-2010,Gen entnt santo men siyal la tonbe rapid.,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rochebateaux need call family put calling card phone please let know im trying reach,21-01-2010,"M roche a bateau, m bezwen rele fanmim m pa ka mete kat. Voye pou mwen souple. Mesi",direct,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
erice street zone peguyville petion ville area,21-01-2010,Nou menm nan rue Impasse Erice zone Pguy-Ville ( do min Petyon Vil ),direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
let radio stations begin missions q,21-01-2010,Il faut que les stations de Radio recommencent avec les missions q,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
please find way amuse people help stress,21-01-2010,ui amusent le peuple pour aider ce peuple  gerer un peu ce stresse,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pestel people keep coming food missing difficult make phone calls,21-01-2010,Que devons-nous faire a Pestel les gens affluent et dj le manque de nourriture se fait sentir.Pis est nous ne pouvons effectuer aucun appel.,direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
people grand goave would like ask authorities human like rest peple island help since january,21-01-2010,Nou menm nan gran gwav nap pwoze yon keksyon avek otorite yo ann dan peyia eske pap gran gwav payon pap menm jan atout pap ayisyen kif depi le douz janv,direct,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
need water food medical care village monpelye rue des pylons delma merci,21-01-2010,"Nou bezwen dlo, manje ak swen medikal. Nou sou teren vilaj monpelye delma 33. Mesi.",direct,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
good evening usa soldiers still suffer great event would love handle presence authority thank,21-01-2010,bon soir a tous les soldats usa nous sommes toujours subis a cet evenement du cote grand anse nous aimerons votre presence de l autorite merci,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
even little water find people,21-01-2010, menm yon ti dlo nou pa k jwenn nan men okenn moun ki dire pou man,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grand goave sack rice selling dollars rarely could get,21-01-2010,je nou pap jwenn sa menm ti sak diri ap vann 3OO dola nan gran gwa,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
written since yesterday yet receive help seen nothing done please help suffering,21-01-2010,Mwen nan Leyogan zon Danpis tou pre baz Marines yo nou pa jwenn ayen grangou ak swaf ap tye nou tout bagay yo pote yo ale avek yo,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
good night please need call urgently whole neighborhood thank,21-01-2010,Bon swa sil vou ple mw bezien apel ijan pou tet kat mesi,direct,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simple location name place street number town,21-01-2010,NEW WORD CYBER CAFE boulevard de la liberte no 13 saint Marc,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
writing since yesterday asking help yet receive anything without shelter still suffering,21-01-2010,map ekri nou depi ye tout sa nou mande m fe yo jiska presan m pa jwenn e m pa we anyen kap fet tanpri san abri yo pa soufri anko,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
need information travelling canada,21-01-2010,Mwen bezwen plis enfomasyon sou vwayaj Canada.,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
received anything terms aid example nee food medicine doctors tents sleep okay sid,21-01-2010,"Nou pako resevwa anyen kom d. Pa egzanp, manje, medikaman, dokte, tant pou domi. Pou okay nan SID",direct,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
help us pelerin provide transportation,21-01-2010,Aidez nous a Pelerin. Nous pouvons assurer le transport.,direct,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hello sent sms alredy yet recive aid please respond give site west rue terre rouge ebenezer church,21-01-2010,svp enstans ki wo plase yo m te voye menm twa sms ba nou deja nou te fem repons poum te ba nou sit net m te di nou m genyen eske se pou rezon sa nou pa j,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
needs telephone card call,21-01-2010,Mwen beswen yon ti kat sylvoupli paske mwen beswen rele mwen paka rele mesi,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
person would like mode transportation,21-01-2010,moyen transpo pa nou merci paske wap pran ka nou,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scout southcayes camp perrin eats localize locals scout southcayes camp perrin food local people gps location may verify look camp perrin,21-01-2010,"Scout Sud/Cayes Camp-Perrin ( sa nte, mange pour les vics. imes de localise",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
department sid zon banbou something killing please tell someone,21-01-2010,Mwen nan depatman sid zon banbou lafen ap touyem tanpri di yon mo pou mwen se jn rodel,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
could please speak french speak english thank,21-01-2010,"Vous pouvez parl la langue franaise avec moi, par ce que je ne pas parle anglais mesi.",direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hi leave gressier really far nobody ever showed help us,21-01-2010,"Bonswa! map viv 2kote gresye nou rete yon tijan tre elwaye 2 komin nan nou c yon pap kap viv nan tiboukan kote nou ye a nou pa oken moun ki pale pou nou,",direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
people dead living hungry please help us,21-01-2010,"kote nou ye nou gen 60 moun ki mouri mezi kote nou ye a nou gen yon vale nou pa jwenn, tanpri nap man2 ckou, grangou ap touye nou tout. NADE JEAN CHELET",direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
urjent need need food pver people families without shelter wounded petion ville near pernier,21-01-2010,detruites. Besoins urgents de nourriture et de tentes. Greffin compte pres de 4500 personnes. environ 150 Familles sont sans abri. Plus de 20 cas de bles,direct,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
one manager distribuition hisher car,21-01-2010,"one par qui se fera la gestion de la distribution, dispose de ses propres moyens de transport.",direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
please staying church wounded dire need food water gas house completely leveled,21-01-2010,souple nou ebje nan yn legliz nou pa gen blese men detan zawot efektif la ap monte pwoblem pa nou pou espesyalman se manje pwoblem kaburan kay nou kraze,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
family friends knows tell alive thanks god,21-01-2010,"famille, mes amis et tous ceux qui me connaissent que je suis en vie par la grace de Dieu.",direct,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
digicel something us please danger want talk family,21-01-2010,Digicel fe yon bagay pou nou silvoupl nou andanje nou bezwen pale ak fanmiy nou,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
one go buy ticket leave,21-01-2010,Ki kote yon moun ka hte ticket poul pati.,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new life situated center city jeremi,21-01-2010,New life ki sitiye nan sant vil jeremi,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
im trying call people going,21-01-2010,MmMwen ap fe apel mwen pa ka pase mwen ta renmen rele kek moun,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lost house escaped time parents,21-01-2010,"UE MA MAISON, JE SUIS SAUV DE JUSTESSE AINSI QUE MES PARENTS Je su",direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asking call number number truncated number usa note please review number put together,21-01-2010,en tlco pont-morin. voici les numeros de mes tantes aux usA 610,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
address latan imp des fleurs number please hurry nee water food sheets babies noting,21-01-2010,nou gen problem vini nou an aide pote dlo mange dra tante nou gen ti bebe KI PA GENYEN ANYEN. adresse nou se latan imp des fleur numero 2 teleph 385,direct,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
need food etc croixdesmission rail street thank understanding,21-01-2010,"Nou bezwen mange etc, se nan croix-des-missions rue rail impasse originale#17. MERCI pou bon konpreansyon nou..",direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
large group victims need water us high blood pressure,21-01-2010,"Nou se yon gwoup viktim ki nan sat 45 epapiye sou plizy teren ak lakou, nou gen yon paket ti bb ak moun ki fe sik ak tansyon. nou bezwen dlo, tant oubyen",direct,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
many people came city les cayes nowhere stay,21-01-2010,okay gen anpil ki soti nan kapital ki moun okay yo pa gen okenn kot,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
graphic designer professional,21-01-2010,"ALTHEN SANON, INFOGRAPHISTE-INFORMATICIEN",direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
please trapped restaurant rue du centre portauprince please send help please,21-01-2010,Mwen bezwen liberasyon nan yon restoran ri di sant,direct,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
one ever came delmas water drink lot people died bodies smell thank,21-01-2010,Yo pa janm vini nan delmas 30 nou pa gen dlo pou nou bw. gen anpil moun ki mouri ki ap santi nou nan terin acra. merci deja,direct,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
water mariani carrefour,21-01-2010,MAP KOTE MARYANI VILAG GASTON MAGON NOU PAGEN DLO,direct,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
water food please make way us,21-01-2010,Bonjou nou rete nan lamentin 52 anba net devan boutik blaise nou pa gen dlo ak manje tanpri fe yon dilijans pou nou,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
could please send minutes call come pick hungry please,21-01-2010,Bonjou mwen rele daniella se kwadbouke mwen ye spv voye 2minit pou mwen poum ka rele pou yo vini chachem paske mwen pa trouve manje poum manje tanpri.,direct,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
area ranche croix des bouquet water food,21-01-2010,"Nou nan zon anfas Ranche Kwadbouk a, nou pa gen ni dlo ni manje.",direct,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
please refill cell need call family card petionville,21-01-2010,Mwen petion vil mwen bezwen rele fanmiy mwen men mwen pagen kat. mete yon kat poumwen svp mesi.,direct,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ile la tortue lot people come disaster area portauprince nothing need,21-01-2010,Nan zile la tti nou gen plizy moun ki mourinan kapital la men tout rs ki pa mouri yo oblije kite kapital la pou vini moun sa yo a 2men vid yo bezwen ,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lespinas around fort jacques area fermathe upper petionville house destroyed everything wi please need food thank,21-01-2010,"Nou nan lespinas zon fjak prolonjet kay nou kraze ak tout sa nou te posede nou pedi fanmi ak zanmi, nou bezwen manje. Mesi",direct,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
good morning haiti need father godfather find food us eat place us sleep address near pot lathan royal b c number,21-01-2010,Bonjou ! Mwen an haiti : bezwen pa m ak paran m yo se jwenn manje pou nou manje ak kote pou domi. Adres kote m rete se bore pot lathan ryl m b c nimewo,direct,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
received many wounded people staff supplies need specialist immacule conception hospital thank,21-01-2010,Nou resevwa anpil moun ki grav nan ptpe men nou manke dokt spesyalis nou bezwen ed nan lopital imakile ak lapwent mesi,direct,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
dress wore last tuesday please help portdepaix pdep best estimate urgent,21-01-2010,mwen selman genyen rad kite sou mwen jounen madi a silvoupl ede m aktyelman mwen trouve m jis Pdep,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
victim need assistance,21-01-2010,Mwen viktim mwen bezwen asistans,direct,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
right behind airport food water kind problems please help us waiting,21-01-2010,Nou gen probleme dlo manje nou pa gen kay toute probleme nan kow nou nou nan do airporte la nap tan n ou reponse,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
need lot help please martissant especially rubble need food water medicaton victims thank much,21-01-2010,Nou bezwen anpil d Svp nan Matisant sitout moun ki anba dekomb yo Nou bezwen manje dlo ak medikaman pou viktim yo. mesi anpil.,direct,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
ask help go cailles go family please thank,21-01-2010,li mwen mande pou nou edem rantre okay pou mal jwenn fanmim yo silvouple merci,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fort jacques near alexandre house destroyed food please help us,21-01-2010,"Nou fojak b f Alexandre, nou bezyen manje epi nou pa gen kay pou nou rete, salu",direct,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
wrote never brought anything need know longer help thank location,21-01-2010,Mwen te ekrinou ya nou pa pote anyen banmwen mwen ta renmen konnen si nou ap edem mwen pakapab ank mesi. Se linda py. Repons.,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
please help us hunger kill children,21-01-2010,n sil voupl edem pou lafen pa tiye timoun yo.,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
problem consist food underwear gods grace come aid,21-01-2010,p. Notre probleme consiste en nourriture et sous-vetement. De grace viens a notre aide.,direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
need help pax vila crematorium received anything thanks,21-01-2010,ns avon bez daid a pax vila crematorium mais gate js kisi ns navon rien recu merci,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
would like know timedate commercial flights us please,21-01-2010,Mwen ta renmen konnen kil ap genyen vil kmasyal pou etazini svp s,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
help rlle du travail au college lamartinere help us need note could locate map,21-01-2010,Aide a 3rlle du travail au college lamartiniere. aide nou bezwen.,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trying give info,21-01-2010,s pres de vous donner plus info,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
