text,start_loc,end_loc
Seismic activity reported in Shariki Mura. Discuss emergency procedures with family! #disasterPreparedness,29,41
"Residents of Shari-gawa, make sure your emergency supplies are stocked! #StaySafe",13,23
Reports indicate tremors in Shari Dake. Stay informed and follow safety guidelines! #quakeAlert,28,38
Strong shaking reported in Shari Chō. Check in with friends and family! #quakeAlert,27,36
Strong shaking reported in Honmachi. Secure your pets and stay calm! #quakeAlert,27,35
Tremors felt in Shanai. Secure your pets and keep them calm! #earthquakeAwareness,16,22
Reports of tremors in Shamambe-yama. Check local updates! #quakeAlert,22,35
Tremors felt in Shakunin-yama. Avoid using elevators during an earthquake! #disasterAlert,16,29
Ground shaking detected in Shakunin. Discuss your family's emergency plan regularly! #disasterPreparedness,27,35
Aftershocks shaking Onbetsuchō-shakubetsugen’ya. Please stay safe! #disaster,20,47
Seismic disturbances noted in Shaskubetsu-kisen. Stay alert and monitor local news! #disasterAlert,30,47
Reports confirm shaking in Shakotan-misaki. Secure heavy furniture and stay safe! #quakeAlert,27,42
Reports confirm shaking in Shakotan-hantō. Make sure to stay informed through reliable sources! #quakeAlert,27,41
Seismic disturbances noted in Shakotan-gawa. Stay alert and follow local guidance! #disasterAlert,30,43
Aftershocks felt in Shakotan-dake. Stay indoors! #earthquake,20,33
Tremors felt in Shakanai Mura. Make sure to check on your emergency plans! #earthquake,16,29
Tremors reported in Shakanai. Gather important documents in case of evacuation! #StaySafe,20,28
Residents of Setsuri Gawa shaken again. Stay safe! #quakeAlert,13,25
"Tremors felt in Nishiokoppe. Everyone, please be cautious! #StayAlert",16,27
Significant shaking reported in Setose-higashimachi. Prepare for potential evacuations! #quakeAlert,32,51
Residents in Setose should be on high alert for possible aftershocks. Stay safe! #StayAlert,13,19
Tremors in Seta Yama. Prepare for potential disruptions in services! #quakeAlert,11,20
Reports of significant shaking in Setarai. Check on pets and keep them calm! #earthquake,34,41
"Residents of Seseki, stay informed through reliable sources and community alerts! #StayAlert",13,19
Significant shaking reported in Homare. Make sure everyone is accounted for! #quakeAlert,32,38
"Significant shaking reported in Senhōshi. Know the safest places to drop, cover, and hold on! #quakeAlert",32,40
Seismic activity detected in Sengen. Secure your belongings and be prepared! #disasterPreparedness,29,35
Seismic activity reported in Senhōshi Saki. Check your emergency kit for essentials! #disasterPreparedness,29,42
Reports confirm shaking in Senpōji. Make sure everyone knows the safety protocols! #quakeAlert,27,34
Reports confirm shaking in Sempōji. Be mindful of aftershocks and stay prepared! #quakeAlert,27,34
"Residents of Senboku Tōge, stay calm and wait for further instructions! #StayAlert",13,25
Tremors felt in Senbiri. Check your emergency plans and stay safe! #earthquake,16,23
"Residents of Sekitan Misaki, stay calm and be ready for updates! #StayAlert",13,27
"Residents in Sekine, ensure your emergency kits are ready for aftershocks! #StaySafe",13,19
"Tremors felt in Sekihoku Tōge. Everyone, please stay alert! #StayAlert",16,29
Residents of Sawara-wan shaken by aftershocks again. Stay cautious! #earthquake,13,23
Tremors reported in Sawara-dake. Keep your loved ones informed about your status! #StaySafe,20,31
Shaking reported in Sawara. Stay informed about potential aftershocks! #disasterAlert,20,26
Aftershocks may follow in Sawae. Keep your emergency kit within reach! #disasterReady,26,31
Seismic disturbances noted in Sausu-yama. Stay indoors and keep away from windows! #disasterAlert,30,40
"Residents in Sattsurumachi, ensure you are prepared for possible aftershocks! #earthquake",13,26
Seismic activity reported in Sattomonai. Know your exits and stay aware! #disasterPreparedness,29,39
Shaking reported in Sattebetsu. Please stay indoors! #quakeAlert,20,30
"Residents of Satsunai Gawa, please check on elderly neighbors during these tremors! #quakeAlert",13,26
Aftershocks may hit Satsunai-chūōmachi. Keep your emergency supplies stocked! #disasterReady,20,38
Shaking reported in Satotenka-yama. Please stay indoors! #quakeAlert,20,34
Tremors felt in Sashirui-saki. Encourage your community to participate in preparedness training! #earthquakeAwareness,16,29
Reports confirm shaking in Sashirui-gawa. Secure your belongings and stay safe! #quakeAlert,27,40
"Residents of Sashirui, stay indoors until you receive updates! #StayAlert",13,21
Earthquake activity near Sasa Yama. Check your smoke detectors and emergency alarms! #earthquakeRescue,25,34
Tremors felt in Sasa Yama. Encourage neighbors to stay alert and communicate! #earthquakeAwareness,16,25
Reports of strong shaking in Sasawatari. Stay safe indoors! #earthquake,29,39
Reports confirm shaking in Sasatsumori Yama. Make sure to stay informed through reliable sources! #quakeAlert,27,43
Aftershocks felt in Sasamori Yama. Ensure you know your emergency evacuation routes! #earthquakeSafety,20,33
Aftershocks expected in Sasamakuri-yama. Have your evacuation plan ready to go! #earthquakeSafety,24,39
Aftershocks reported in Asahi. Please stay safe! #quakeAlert,24,29
Strong shaking reported in Saruru-yama. Stay safe and check on your neighbors! #quakeAlert,27,38
Tremors reported in Saruru Misaki. Stay informed through official updates! #StaySafe,20,33
Reports of an earthquake near Saruru-hana. Stay tuned for updates and alerts! #earthquakeRescue,30,41
Shaking reported in Saruru Gawa. Stay cautious and monitor your surroundings! #disasterAlert,20,31
Residents in Saruru advised to stay indoors. #StaySafe,13,19
Strong shaking reported in Sarukotsu Gawa. Stay indoors and remain calm! #quakeAlert,27,41
"Another earthquake just shook Sarukotsu. Everyone, please be safe! #StayAlert",30,39
Reports of shaking in Saru-gawa. Stay indoors and safe! #earthquake,22,31
Strong shaking felt in Sarugamori. Stay updated with local emergency services! #quakeAlert,23,33
Aftershocks expected in Sarufutsu Gawa. Maintain communication with family members! #earthquakeSafety,24,38
Strong shaking reported in Sarufutsu. Ensure your family is safe and secure! #quakeAlert,27,36
Shaking reported in Sarubetsu Gawa. Please avoid moving around unnecessarily! #disasterAlert,20,34
Aftershocks expected in Sarubetsu. Ensure you have adequate supplies at home! #earthquakeSafety,24,33
"Tremors felt in Saroma Yama. Everyone, please stay alert! #StayAlert",16,27
Shaking reported in Saroma Ko. Have a communication plan with your family! #disasterAlert,20,29
Strong shaking reported in Saroma Chō. Review your emergency exit routes! #quakeAlert,27,37
"Tremors felt in Saromabetsu Gawa. Everyone, please be careful! #StayAlert",16,32
Residents of Sarobetsu Gawa feel strong shaking. Be cautious! #disasterAlert,13,27
Tremors reported in Sarambe-gawa. Stay indoors until further notice! #earthquakeSafety,20,32
Ground shaking detected in Sarambe-dake. Check your home for potential hazards! #disasterPreparedness,27,39
Significant shaking reported in Sarakitomanai. Stay alert for further instructions! #quakeAlert,32,45
"Tremors felt in Sarakishi-tō. Everyone, please be cautious! #StayAlert",16,28
"Residents of Saraki Misaki, check your surroundings for safety! #StaySafe",13,26
Reports confirm shaking in Sarabetsu. Secure your emergency supplies! #quakeAlert,27,36
Severe tremors reported in Sapporo-shi. Emergency services activated! #disasterAlert,27,38
Tremors felt in Sapporo-mura. Keep your emergency kit accessible and stay calm! #earthquakePreparedness,16,28
Seismic activity reported in Sapporo-dake. Keep a portable charger handy for emergencies! #disasterPreparedness,29,41
Strong shaking reported in Sapporo. Stay alert for further updates from local authorities! #quakeAlert,27,34
"Tremors felt in Santō Zan. If you're in a vehicle, pull over safely and stay put! #disasterAlert",16,25
Aftershocks possible in Sansen. Practice safety drills with your family! #disasterReady,24,30
Aftershocks in Sansen. Be prepared for anything! #disasterAlert,15,21
Seismic disturbances noted in Sanru Gawa. Follow local authorities for guidance! #disasterAlert,30,40
Seismic activity noted in Sanru Bokujō. Ensure your emergency kit is accessible! #disasterAlert,26,38
"Massive earthquake in Sannohe Machi, stay safe everyone! #disasterAlert",22,35
Tremors reported in Sannohe Gun. Stay away from anything that could fall during shaking! #StaySafe,20,31
Aftershocks expected in Sannohe. Ensure you have adequate supplies at home! #earthquakeSafety,24,31
Shaking reported in Sannai-dake. Keep calm and follow safety protocols! #earthquake,20,31
Ground shaking detected in Sannai. Stay low and protect your head and neck! #disasterPreparedness,27,33
Strong shaking reported in Sankisen. Stay away from windows and glass doors! #quakeAlert,27,35
Reports of significant shaking in Sankeushi-misaki. Help others if it’s safe to do so! #earthquake,34,50
Earthquake activity near Sankei. Review safety procedures for school-aged children! #earthquakeRescue,25,31
Tremors felt in Sankebetsu Gawa. Ensure your emergency plan is communicated! #earthquakePreparedness,16,31
Earthquake activity near Sankaku-yama. Ensure your family knows how to react! #earthquakeRescue,25,37
Shaking reported in Sankaku Yama. Stay in a safe area and avoid risky locations! #disasterAlert,20,32
Significant shaking reported in Sankaku-yama. Make sure everyone is safe! #quakeAlert,32,44
Tremors reported in Sankaku-san. Discuss safety procedures with your family! #StaySafe,20,31
Strong shaking reported in Sankaku Dai. Ensure your home is prepared for emergencies! #quakeAlert,27,38
Aftershocks may occur in Sanjūkyūsen. Review your family's emergency plan! #disasterReady,25,36
Tremors reported in Sangō. Stay calm and check on your family! #earthquakePreparedness,20,25
Seismic disturbances noted in Sangō. Follow local authorities for guidance! #disasterAlert,30,35
Aftershocks shaking Ōtakiku-sangaitakichō. Stay prepared! #disaster,20,41
A series of aftershocks have been reported near Samuraihama-mura. Stay alert and be prepared! #earthquakeRescue,48,64
Earthquake activity near Samuraihama. Maintain communication with family and friends! #earthquakeRescue,25,36
Tremors in Sammaigama. Stay informed through community alerts and news updates! #quakeAlert,11,21
Tremors felt in Sanmai Dake. Stay indoors and check for any damage! #earthquakePreparedness,16,27
Seismic disturbances noted in Samemachi. Follow local authorities for guidance! #disasterAlert,30,39
Tremors in Same-kaku. Have your emergency plan in place and stay indoors! #quakeAlert,11,20
We just felt a strong tremor in Same-eki. Everyone stay indoors until it's safe! #earthquake,32,40
"Residents of Sambongi, remain indoors until the situation stabilizes! #StayAlert",13,21
Strong shaking reported in Sanbongi. Check in with friends and family! #quakeAlert,27,35
Residents of Sanbōkō shaken again. Stay safe! #quakeAlert,13,20
"Tremors felt in Sambanzawa. If you’re outdoors, move to an open space! #disasterAlert",16,26
"Residents of Samani-yama, maintain communication with loved ones during this time! #StayAlert",13,24
Shaking reported in Samani Gyokō. Secure heavy items and stay safe! #disasterAlert,20,32
Aftershocks shaking Samani Chō following a massive earthquake. #disaster,20,30
Reports of significant shaking in Honchō. Follow local news for safety tips! #earthquake,34,40
Residents in Samakkenupuri Yama advised to remain calm. #StaySafe,13,31
Strong shaking reported in Samakishiri Yama. Stay indoors and avoid moving around unnecessarily! #quakeAlert,27,43
Aftershocks may occur in Sakushu. Know your nearest exit routes! #disasterReady,25,32
Earthquake activity noted near Sakuraminami. Stay informed and prepared! #earthquakeRescue,31,43
Earthquake detected near Sakura. Stay tuned for safety updates! #earthquakeRescue,25,31
New tremors reported in Saku-ne. Emergency services activated. #earthquake,24,31
Significant shaking reported in Sakubai. Be cautious and look out for others! #quakeAlert,32,39
Reports of tremors in Saku. Stay indoors! #earthquake,22,26
Aftershocks expected in Sakkuru-yama. Keep your emergency supplies stocked and ready! #earthquakeSafety,24,36
Reports of significant shaking in Sakkuru. Stay informed and calm! #earthquake,34,41
"Residents of Sakkotsu Dake, stay indoors and away from windows! #StaySafe",13,26
Reports of significant shaking in Sakinzawa. Keep emergency supplies close! #earthquake,34,43
Aftershocks may occur in Sakimui. Keep a battery-powered radio handy! #disasterReady,25,32
Tremors reported in Sakazuki-gawa. Keep your loved ones informed about your status! #StaySafe,20,33
Aftershocks shaking Sakaya-yama. Please stay safe! #disaster,20,31
Earthquake activity near Sakanoue. Stay updated with local news channels! #earthquakeRescue,25,33
Reports of an earthquake near Sakanoshita Wan. Stay updated with local authorities! #earthquakeRescue,30,45
"Residents of Sakanoshita, ensure your emergency kits are accessible and ready! #StaySafe",13,24
Reports confirm shaking in Sakakimachi. Help those who might need assistance! #quakeAlert,27,38
Reports indicate seismic activity in Sakaino. Stay informed through reliable sources! #earthquake,37,44
"Residents of Sakaemori, ensure your emergency kits are accessible and ready! #StaySafe",13,22
Reports of strong shaking in Sakaehama. Stay safe indoors! #earthquake,29,38
Strong shaking reported in Sakaechō. Be alert for potential aftershocks! #quakeAlert,27,35
Tremors felt in Hobetsu-sakae. Keep your emergency kit accessible and stay calm! #earthquakePreparedness,16,29
Seismic activity noted in Saiyanai. Ensure your emergency kit is ready! #disasterAlert,26,34
Aftershocks expected in Sai Mura. Help your neighbors stay informed about safety measures! #earthquakeSafety,24,32
Aftershocks may occur in Sai Gyokō. Keep your phone charged for emergency notifications! #disasterReady,25,34
Shaking felt in Sai Gawa. Keep your phones charged and stay updated! #disasterAlert,16,24
Tremors reported in Sai. Ensure your family knows what to do during quakes! #StaySafe,20,23
Aftershocks have been felt in Sahoro Gawa. Ensure you have your emergency kits ready! #disasterPreparedness,30,41
Seismic activity reported in Sahoro-dake. Keep emergency contacts accessible! #disasterPreparedness,29,40
"Residents of Sabishirotai, stay aware and prioritize your safety! #StayAlert",13,25
Residents of Sabishiro shaken again. Stay safe! #quakeAlert,13,22
Aftershocks may occur in Ryūjin-misaki. Keep your emergency supplies handy! #disasterPreparedness,25,38
"Tremors felt in Ryūga-saki. Stay safe, everyone! #StaySafe",16,26
"Residents of Ryūga Mori, stay calm and listen for emergency updates! #StayAlert",13,23
Aftershocks in Ryō-ishi may continue for some time. Stay prepared! #earthquake,15,23
Strong shaking reported in Rusutsu. Review your emergency exit routes! #quakeAlert,27,34
Reports confirm shaking in Rushin. Stay safe and check your surroundings for hazards! #quakeAlert,27,33
Tremors in Rusha-gawa. Keep emergency kits accessible and stay indoors! #quakeAlert,11,21
Tremors in Rusa-gawa. Prepare your family for possible disruptions to services! #quakeAlert,11,20
"Residents of Rurochi Gawa, make sure to secure your belongings! #StaySafe",13,25
Residents in Ruranbetsu advised to stay calm and indoors. #StaySafe,13,23
"Residents in Rumoi Shi, stay alert and follow local safety guidelines! #StayAlert",13,22
Residents in Rumoi-kō advised to stay calm. #StaySafe,13,21
Earthquake detected near Rumoi-gawa. Stay indoors and avoid unnecessary travel! #earthquakeRescue,25,35
Reports confirm shaking in Rumoi-eki. Stay calm and check for injuries! #quakeAlert,27,36
"Residents of Rumoi, stay calm and follow local safety measures! #StayAlert",13,18
Tremors felt in Rūku. Secure your pets and keep them calm! #earthquakeAwareness,16,20
Earthquake detected near Rukotsu-dake. Check on your neighbors! #earthquakeRescue,25,37
"Tremors felt in Ruika. Everyone, please stay alert! #StayAlert",16,21
Residents in Ruchishi Yama should be on high alert for possible aftershocks. Stay safe! #StayAlert,13,26
Tremors reported in Rubeshibe-yama. Secure heavy items and stay indoors! #quakeAlert,20,34
Aftershocks expected in Rubeshibetsu Misaki. Have your evacuation plan ready to go! #earthquakeSafety,24,43
Feeling the tremors in Rubeshibetsu? It’s crucial to remain calm and alert! #StaySafe,23,35
"Residents of Rubeshibe-gawa, stay indoors and away from windows! #StaySafe",13,27
Seismic activity in Rubeshibechō-asahikita has been reported. Keep emergency kits accessible! #disasterAlert,20,42
Tremors felt in Rubeshibe. Everyone stay cautious! #quakeAlert,16,25
Significant shaking reported in Hobetsu-izumi. Be cautious and look out for others! #quakeAlert,32,45
Strong shaking reported in Rōsoku-iwa. Be alert for potential aftershocks! #quakeAlert,27,37
Tremors in Rokushinai. Prepare for possible evacuation and keep essentials ready! #quakeAlert,11,21
Tremors felt in Rokusen. Stay close to your loved ones during this time! #StaySafe,16,23
Tremors have been detected in Rokugō Mura. Check on vulnerable neighbors! #StaySafe,30,41
Aftershocks expected in Rokugō. Be prepared and stay informed! #earthquakeSafety,24,30
Ground shaking detected in Rokkasho Mura. Avoid panic and follow safety protocols! #disasterPreparedness,27,40
"Residents of Riyamunai, stay calm and wait for further instructions! #StayAlert",13,22
Tremors felt in Tomiiso. Make sure your family has a safety plan! #quakeAlert,16,23
Strong shaking reported in Rishiri Zan. Remember to stay indoors until it’s safe! #quakeAlert,27,38
Reports confirm shaking in Rishiri Tō. Secure heavy furniture and stay safe! #quakeAlert,27,37
"Residents of Rishiri Suidō, stay calm and follow local safety measures! #StayAlert",13,26
Strong quake impacts Rishiri Gun. Emergency services are on high alert! #disasterAlert,21,32
Strong aftershocks felt in Rikubetsu Chō. Make sure your emergency supplies are ready! #earthquakeSafety,27,40
"Residents of Rikubetsu, stay calm and wait for further instructions! #StayAlert",13,22
Aftershocks may occur in Rikibiru-yama. Stay prepared and keep your family close! #disasterReady,25,38
Reports confirm shaking in Rikibiru. Stay calm and check for injuries! #quakeAlert,27,35
Strong aftershocks felt in Ribira Gawa. Check in on friends and family! #earthquakeSafety,27,38
Severe earthquake felt in Retsureppu. Take precautions! #quakeAlert,26,36
Reports confirm shaking in Retsureppu. Stay indoors and avoid panic! #quakeAlert,27,37
Aftershocks shaking Rekifune Gawa. Keep emergency kits ready! #disaster,20,33
"Residents of Reisen, remember to stay indoors during tremors! #StaySafe",13,19
Tremors reported in Reisakubetsu. Stay indoors until further notice! #earthquakeSafety,20,32
Strong shaking reported in Rebun Tō. Ensure your home is ready for emergencies! #quakeAlert,27,35
"Tremors felt in Rebun Suidō. Everyone, please stay alert! #StayAlert",16,27
Aftershocks may occur in Rebun Gun. Keep your emergency supplies handy! #disasterPreparedness,25,34
Reports of significant shaking in Rebunge-tōge. Help those in need if safe to do so! #earthquake,34,46
Ground shaking detected in Rebun Dake. Be ready to respond to any emergency situation! #disasterPreparedness,27,37
"Residents of Rebun Chō, plan regular drills to practice your emergency procedures! #StayAlert",13,22
Ground shaking detected in Rebun-eki. Keep your emergency plan updated! #disasterPreparedness,27,36
Reports of significant shaking in Rebun. Check on your loved ones! #earthquake,34,39
Reports of shaking in Rawan Gawa. Stay informed and safe! #earthquake,22,32
Aftershocks expected in Rawan. Have your evacuation plan ready to go! #earthquakeSafety,24,29
Strong shaking reported in Rausu-gawa. Ensure your home is secure! #quakeAlert,27,37
Seismic activity reported in Rausu Dake. Discuss emergency procedures with family! #disasterPreparedness,29,39
"Residents of Rausu Chō, ensure your families are safe during these tremors! #StaySafe",13,22
Tremors felt in Rausu. Everyone should stay safe! #quakeAlert,16,21
Tremors felt in Rapushi. Stay alert and monitor local news for updates! #earthquakePreparedness,16,23
Reports of tremors in Rasutappe Misaki. Stay safe! #quakeAlert,22,38
"Residents of Ranshima-gawa, prepare for potential aftershocks and stay safe! #StayAlert",13,26
Reports of significant shaking in Ranru. Share resources about earthquake safety online! #earthquake,34,39
Tremors felt in Rankoshimachi. Ensure your emergency kits are well-stocked! #earthquakePreparedness,16,29
Reports confirm shaking in Rambokke Misaki. Make sure everyone knows the safety protocols! #quakeAlert,27,42
Tremors reported in Rakko Dake. Keep your loved ones informed about your status! #StaySafe,20,30
Tremors felt in Raiman-tōge. Ensure your emergency plan is communicated! #earthquakePreparedness,16,27
"Residents of Raijō, check your surroundings for safety! #StaySafe",13,18
Reports confirm tremors in Raiden-yama. Stay indoors and avoid any distractions! #earthquake,27,38
"Residents of Raiden-misaki, make sure to check on your neighbors after the shaking! #StaySafe",13,26
Reports confirm shaking in Raiba-dake. Secure your belongings and stay safe! #quakeAlert,27,37
Shaking reported in Raiba-gawa. Stay in a safe area and avoid risky locations! #disasterAlert,20,30
Reports confirm shaking in Raiba-gawa. Secure your belongings and stay safe! #quakeAlert,27,37
Reports confirm shaking in Raiba. Ensure children know how to respond during quakes! #quakeAlert,27,32
"Residents of Putokamabetsu Gawa, stay indoors and away from windows! #StaySafe",13,31
Shaking reported in Putofurenai. Practice your emergency drills with family! #disasterAlert,20,31
Earthquake activity near Puetaosu-yama. Be prepared for updates from authorities! #earthquakeRescue,25,38
Significant shaking felt in Poro-shosuke. Make sure your loved ones are safe! #quakeAlert,28,40
Aftershocks have been reported in Poroshiri Yama. Please stay alert and cautious! #disasterAlert,34,48
Tremors reported in Poroshiri-yama. Discuss safety procedures with your family! #StaySafe,20,34
Aftershocks in Tokachi-poroshiri Dake following last night's quake. Stay alert! #disasterAlert,15,37
Residents in Poroshireto-saki advised to stay calm and indoors. #StaySafe,13,29
Tremors felt in Poroshire-saki. Remind your family to stay low and stay safe! #earthquakePreparedness,16,30
"Residents of Poronupuri Yama, take care and stay informed through community resources! #StayAlert",13,28
Aftershocks expected in Poronupuri Dake. Keep your emergency supplies stocked and ready! #earthquakeSafety,24,39
Aftershocks may occur in Poro Numa. Review your family’s emergency plan! #disasterReady,25,34
Seismic disturbances noted in Poromoi. Follow local authorities for guidance! #disasterAlert,30,37
Reports of an earthquake near Poroiwa Yama. Stay updated with safety information! #earthquakeRescue,30,42
A series of aftershocks has hit Poroiso-saki. Remain vigilant and look out for one another! #earthquake,32,44
Tremors felt in Poro indicate seismic activity. Stay informed and safe! #quakeAlert,16,20
Earthquake detected near Pon-yaushubetsu-gawa. Stay informed through official sources! #earthquakeRescue,25,45
Tremors felt in Ponyambetsu-gawa. Make sure to stay informed through trusted sources! #earthquakeAwareness,16,32
"Residents in Pontomari, aftershocks have been detected. Keep your emergency kits handy! #disasterPreparedness",13,22
"Residents of Ponto, remain calm and stay tuned for updates! #StayAlert",13,18
"Residents of Pon Numa, ensure you have your emergency supplies ready. Stay alert! #StaySafe",13,21
Tremors felt in Pon-shosuke. Avoid using elevators during an earthquake! #disasterAlert,16,27
Tremors in Pon-shire-saki. Have a backup plan for communication with loved ones! #quakeAlert,11,25
Seismic activity in Pon-shikutsushi-saki has been reported. Keep emergency kits accessible! #disasterAlert,20,40
Feeling the tremors in Pon-pekereota? It’s crucial to remain calm and alert! #StaySafe,23,36
"Residents of Pononemoto, ensure your emergency kits are accessible and ready! #StaySafe",13,23
Tremors reported in Ponnosawa. Make sure to check on vulnerable community members! #quakeAlert,20,29
"Residents of Ponnai-gawa, make sure to check on elderly and disabled neighbors! #StaySafe",13,24
"Tremors felt in Ponkinaomaru-yama. Stay safe, everyone! #StaySafe",16,33
Aftershocks may follow in Ponitakiri-ishi. Check your emergency kit today! #disasterReady,26,41
"Tremors felt in Ponporoto. If you're in a vehicle, pull over safely and stay put! #disasterAlert",16,25
Earthquake activity detected near Ponchimaebira. Please remain indoors until cleared! #earthquakeRescue,34,47
Reports indicate tremors in Pon-chashikotsu. Stay inside and stay safe! #earthquake,28,43
Tremors in Ponpira. Keep emergency kits accessible and stay indoors! #quakeAlert,11,18
"Tremors felt in Pommukarisho-iwa. Everyone, please remain alert! #StayAlert",16,32
Reports of shaking in Pommai-hana. Stay indoors and safe! #earthquake,22,33
"Residents of Pommai, consider forming a neighborhood watch for emergencies! #StayAlert",13,19
Residents in Honbetsu Gawa urged to stay calm. #StaySafe,13,26
Tremors in Pombetsu-dake. Stay informed through community alerts and news updates! #quakeAlert,11,24
Reports of shaking in Piyashiri Yama. Stay indoors and safe! #earthquake,22,36
Reports of tremors in Bifuka. Stay indoors! #earthquake,22,28
Tremors felt in Pitatanunke. Avoid using elevators during an earthquake! #disasterAlert,16,27
Tremors reported in Pisshiri Zan. Review your emergency contact list! #StaySafe,20,32
Aftershocks in Pisenai Yama. Remain vigilant and prepared! #disasterAlert,15,27
"Residents of Pirikanupuri, create a buddy system to check on each other during emergencies! #StayAlert",13,25
"Residents of Pirikaneppu, make sure to secure your belongings! #StaySafe",13,24
Tremors in Pirigai San. Have an evacuation plan in place just in case! #quakeAlert,11,22
"Residents of Pippu-dake, stay alert for aftershocks and keep emergency numbers handy! #StayAlert",13,23
Aftershocks expected in Pippu. Maintain communication with family members! #earthquakeSafety,24,29
Shaking reported in Pinne-yama. Stay updated! #quakeAlert,20,30
Tremors have hit Binneshiri Dake. Stay vigilant and keep an eye on updates! #disasterAlert,17,32
Reports indicate tremors in Binneshiri. Stay informed and follow safety guidelines! #quakeAlert,28,38
Residents of Pinneshiri are experiencing strong aftershocks. #quakeAlert,13,23
Seismic disturbances noted in Petegari Dake. Follow local authorities for guidance! #disasterAlert,30,43
"Residents in Perari Yama, ensure your emergency kits are ready for aftershocks! #StaySafe",13,24
Seismic activity reported in Pēpenai-gawa. Be ready to help neighbors who may be affected! #disasterPreparedness,29,41
Earthquake activity near Peoppe Yama. Secure heavy furniture and appliances! #earthquakeRescue,25,36
Seismic disturbances noted in Penke Yama. Stay alert and monitor local news! #disasterAlert,30,40
Seismic activity reported in Penke Numa. Stay aware of your surroundings! #disasterPreparedness,29,39
Emergency alerts for Penke-nikoro-gawa. Prepare for aftershocks and stay informed! #earthquakeRescue,21,38
We just felt a strong tremor in Penke-gawa. Everyone stay indoors until it's safe! #earthquake,32,42
Strong shaking reported in Pekinno-hana. Ensure your family is safe and secure! #quakeAlert,27,39
Tremors in Pekere Yama. Familiarize yourself with the nearest emergency shelters! #quakeAlert,11,22
Tremors felt in Peitoru-gawa. Move to a safe location and stay low! #earthquakeAwareness,16,28
Tremors felt in Peipan-yama. Make sure your family has a safety plan! #quakeAlert,16,27
Tremors reported in Pashikuru Numa. Review your emergency contact list! #StaySafe,20,34
Tremors in Paromautsunai Gawa. Organize community gatherings to discuss disaster preparedness! #quakeAlert,11,29
Reports of significant shaking in Panke Zan. Follow guidance from emergency services! #earthquake,34,43
Reports of significant shaking in Panke-yama. Keep emergency contacts handy! #disasterAlert,34,44
Aftershocks continue in Panke-yama. Remain vigilant! #disaster,24,34
Seismic disturbances noted in Panke Numa. Stay informed and prepared! #disasterAlert,30,40
Earthquake activity near Pankenūshi Gawa. Check that your smoke detectors are functioning! #earthquakeRescue,25,40
Reports of strong shaking in Panke-horonai-yama. Be vigilant! #quakeAlert,29,47
Seismic activity reported in Pankechin-gawa. Have a backup plan for food and water supplies! #disasterPreparedness,29,43
Strong aftershocks felt in Panke. Check in on friends and family! #earthquakeSafety,27,32
Seismic disturbances noted in Ōzukushi-yama. Stay alert and follow local guidance! #disasterAlert,30,43
Seismic activity noted in Ō-zaki. Ensure your emergency kit is accessible! #disasterAlert,26,32
Ground shaking detected in Ōsai Gawa. Discuss your family's emergency plan regularly! #disasterPreparedness,27,36
New tremors reported in Ōyu Gawa. Emergency services activated. #earthquake,24,32
"Tremors felt in Towada-ōyu. If you’re driving, pull over to a safe location! #disasterAlert",16,26
Aftershocks felt in Ōyo Jima. Ensure you know your emergency evacuation routes! #earthquakeSafety,20,28
Significant shaking reported in Oyochi. Keep a flashlight handy for power outages! #quakeAlert,32,38
Earthquake activity near Owasarabi-yama. Be prepared for updates from authorities! #earthquakeRescue,25,39
"Residents of Ōwani Machi, prepare for potential aftershocks and stay safe! #StayAlert",13,24
Aftershocks may occur in Ōwani. Keep emergency supplies within reach! #disasterReady,25,30
Reports confirm shaking in Ōwada. Secure your belongings and stay safe! #quakeAlert,27,32
Tremors reported in Ō-usu. Encourage everyone to stay calm and collected! #StaySafe,20,25
Shaking reported in Otsukushi-yama. Ensure your children know what to do during an earthquake! #disasterAlert,20,34
Residents in Tokachi Gawa advised to remain calm. #StaySafe,13,25
Earthquake reports in Ō-tsubo-gawa. Ensure you have an emergency kit ready! #earthquakeSafety,22,34
Ground shaking detected in Ōtsu. Keep emergency contacts accessible! #disasterPreparedness,27,31
Another tremor reported in Otoshibe Misaki. Stay safe! #earthquake,27,42
Tremors felt in Otoshibe Gawa. Remain calm and take necessary precautions! #earthquakePreparedness,16,29
Residents of Otoshibe-gawa feel strong tremors again. Stay safe! #quakeAlert,13,26
"Tremors felt in Otoshibe. Everyone, please remain alert! #StayAlert",16,24
Tremors felt in Otoshibe. Gather your family and review safety protocols! #earthquakePreparedness,16,24
Reports indicate tremors in Otorochikushi-saki. Stay informed and follow safety guidelines! #quakeAlert,28,46
Aftershocks felt in Ōtomari. Ensure you know your emergency evacuation routes! #earthquakeSafety,20,27
Tremors felt in Otoineppu Misaki. Ensure your emergency plan is communicated! #earthquakePreparedness,16,32
"Aftershocks shaking Otoineppu Gawa. Everyone, please stay cautious! #disaster",20,34
Aftershocks in Otoineppu could follow. Keep your emergency supplies handy! #disasterPreparedness,15,24
Earthquake detected near Otoineppu. Stay tuned for safety updates! #earthquakeRescue,25,34
Reports of significant shaking in Otofuke Yama. Stay connected with neighbors! #earthquake,34,46
"Residents of Otofuke Gawa, remain indoors and listen for further updates! #StayAlert",13,25
Earthquake detected near Otofuke Chō. Stay tuned for safety updates! #earthquakeRescue,25,36
